tconst	averageRating
tt0011693	6.0
tt0011694	7.0
tt0011695	6.1
tt0011716	5.4
tt0011717	5.6
tt0011721	7.2
tt0011723	6.5
tt0011731	4.7
tt0011735	6.6
tt0011738	6.5
tt0011741	6.3
tt0011742	6.1
tt0011753	5.5
tt0011756	6.9
tt0011757	6.7
tt0011758	5.8
tt0011765	6.7
tt0011771	5.5
tt0011779	6.5
tt0011785	6.8
tt0011797	6.6
tt0011805	4.5
tt0011812	5.0
tt0011816	5.8
tt0011830	6.0
tt0011833	6.9
tt0011837	6.1
tt0011841	7.5
tt0011845	7.0
tt0011848	6.9
tt0011849	6.9
tt0011855	6.9
tt0011858	5.3
tt0011860	5.6
tt0011865	6.7
tt0011870	6.3
tt0011874	6.6
tt0011877	6.4
tt0011880	6.9
tt0011881	6.1
tt0011886	6.9
tt0011890	6.3
tt0011904	6.8
tt0011906	5.1
tt0011907	4.2
tt0011908	6.2
tt0011909	6.6
tt0011912	6.2
tt0011914	6.7
tt0011916	6.2
tt0011918	6.2
tt0011923	5.8
tt0011925	5.2
tt0011927	6.3
tt0011929	7.0
tt0011939	4.7
tt0011944	5.0
tt0011948	7.0
tt0011950	6.9
tt0011952	7.0
tt0011953	5.5
tt0011960	7.0
tt0011966	7.0
tt0011968	4.4
tt0011969	7.0
tt0011973	6.1
tt0011974	5.3
tt0011977	6.8
tt0011979	6.8
tt0011980	6.8
tt0011990	6.8
tt0011998	6.6
tt0012016	6.4
tt0012017	6.8
tt0012027	6.6
tt0012028	1.7
tt0012045	5.8
tt0012048	6.5
tt0012067	6.6
tt0012068	6.8
tt0012071	5.3
tt0012077	6.1
tt0012079	6.5
tt0012087	6.9
tt0012091	5.0
tt0012092	6.6
tt0012096	5.5
tt0012102	4.2
tt0012104	6.6
tt0012105	5.6
tt0012107	6.3
tt0012109	6.1
tt0012111	6.8
tt0012114	6.1
tt0012117	6.1
tt0012118	6.2
tt0012122	5.6
tt0012125	6.4
tt0012134	7.0
tt0012136	6.4
tt0012159	4.9
tt0012168	6.6
tt0012181	6.7
tt0012187	6.6
tt0012189	3.6
tt0012190	7.2
tt0012192	5.4
tt0012194	4.1
tt0012202	6.2
tt0012205	5.9
tt0012219	6.1
tt0012226	5.8
tt0012227	5.5
